CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
141-32-2,Butyl acrylate,Flammable liquids - Category 3,Flame,Warning,Flammable liquid and vapour,Category 3 because of its flash point: 29degC,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
141-43-5,2-Aminoethanol,Flammable liquids - Category 4,,,,"The flash point is 85degC (c.c.) (ICSC, 2004), which is classified into Category 4. Classified into Class 8 (UN#2491) (UN Recommendations on the Transport of Dangerous Goods)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
141-78-6,Ethyl acetate,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Flash point: <23degC, Initial Boiling point: >35degC","Aug. 18, 2006 (Environmental Hazards: Feb. 10, 2006)"
141-79-7,"3-Penten-2-one, 4-methyl-   (Mesityl oxide)",Flammable liquids - Category 3,Flame,Warning,Flammable liquid and vapour,It was classified as Category 3 (GHS standard: flash point being 23 degC or more and 60 degC or less) as flash point being 25 - 31 degC.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
142-82-5,Heptane,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Flash point: <23degC, Initial boiling point: >35degC, UNRTDG Class: 3, PG II","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
14275-57-1,"(Z)-5,5,12,12-Tetrabutyl-7,10-dioxo-6,11-dioxa-5,12-distannahexadec-8-ene",Flammable liquids - Classification not possible (liquid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
143-08-8,Nonan-1-ol,Flammable liquids - Category 4,-,Warning,Combustible liquid,"Since the flash point by NFPA(13th,2002) is 74degC, it was classified into Category 4.",2009.3.31
144-54-7,N-methyldithiocarbamic acid,Flammable liquids - Not applicable (ammonium salt),,,,"Classified as ""solid"" according to GHS definition. The free acid cannot be classified due to lack of data.","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
14857-34-2,ethoxydimethylsilane,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Flash point: <23degC, Initial boiling point: >35degC","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
151-56-4,Aziridine,Flammable liquids - Category 2,Flame,Danger,Highly flammable liquid and vapour,"Flash point: -11degC, Initial boiling point: 55degC (Hommel, 1991)","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
