CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
709-98-8,"3',4'-dichloropropionanilide",Corrosive to metals,Classification not possible,,,,"Test methods applicable to solid substances with melting point of >55degC are not available (melting point: 91.0degC (Agricultural Chemical Registration Data)). 
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
102-71-6,Triethanolamine,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
8003-34-7,Pyrethrins and Pyrethroids,Corrosive to metals,Classification not possible,-,-,-,No data available,"Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
12047-27-7,barium titanium trioxide,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
1344-40-7,Lead phosphite dibasic ,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
7439-98-7,Molybdenum,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
88-12-0,1-vinyl-2-pyrrolidone,Corrosive to metals,,,,,0.0,2008.03.17
74-90-8,Hydrogen cyanide,Corrosive to metals,Classification not possible,,,,No data available. Those containing stabilizers  (water content: less than 3% by mass) are classified into Class 3 and Division 6.1 (UN#1051) (UN Recommendations on the Transport of Dangerous Goods).,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
80-51-3,"Benzenesulfonic acid, 4,4'-oxybis-, dihydrazide",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
106917-52-6,"2',4-Dichloro-alpha,alpha,alpha-trifluoro-4'-nitro-m-toluenesulfonanilide; Flusulfamide",Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances with melting point of >55degC are not available (melting point: 169.7-171.0degC (Agricultural Chemical Registration Data)). ,"Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7440-16-6,rhodium,Corrosive to metals,Classification not possible,-,-,-,"Liquid at a test temperature, 55degC. Test methods applicable to solid substances are not available.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7440-33-7,Tungsten,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
15263-52-2,cartap hydrochloride,Corrosive to metals,Classification not possible,-,-,-,"Although HSDB (2003) has the description ""iron, copper and zinc are corroded"", test methods suitable for solid materials are not established.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
2698-41-1,[(2-chlorophenyl)methylene]malononitrile,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
2312-35-8,2-(4-tert-butylphenoxy)cyclohexyl 2-propynyl sulfite,Corrosive to metals,Classification not possible,,,,Classification not possible due to lack of data ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
95-48-7,o-Cresol,Corrosive to metals,Classification not possible,,,,"No data available. Corrosivity to metals remains uncertain, though classified as ""corrosive substances"" (as the classification based on UN Recommendations on the Transport of Dangerous Goods includes ""skin corrosivity"") (UN#3455 Cresol (solid)).","Apr. 20, 2006 (Environmental Hazards: May 24, 2006)"
74-97-5,"Methane, bromochloro-",Corrosive to metals,Classification not possible,-,-,-,"Although there is information that it corrodes many metals (ICSC(J) (2003), other), there is no data based on set test methods.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
76-87-9,Fentin hydroxide,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
99-54-7,"1,2-Dichloro-4-nitrobenzene",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,2009.3.31
1477-55-0,m-Phenylene-bis(methylamine),Corrosive to metals,Classification not possible,-,-,-,"Although it is classified into the class 8 in UNRTDG, identification with skin caustics cannot be performed.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
78-94-4,butenone,Corrosive to metals,Classification not possible,-,-,-,Classification not possible due to lack of data,"Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
2451-62-9,Triglycidyl isocyanurate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-60-1,bis(2-chloro-1-methylethyl) ether,Corrosive to metals,Classification not possible,-,-,-,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
13718-59-7,barium selenite,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
25496-01-9,Tridecylbenzenesulphonic acid (C13),Corrosive to metals,Classification not possible,,,,"Classification not possible due to lack of data. Classified into ""Corrosive Substances"" by the UN Recommendations on the Transport of Dangerous Goods. However, the category includes skin corrosivity, and it is unclear whether the substance is classified as ""metal"" corrosive  (UN#2585 Alkyl sulfonic acids (solid) or Aryl sulfonic acids (solid) (with not more than 5% free sulfuric acid), UN#2586 Alkyl sulfonic acids (liquid) or Aryl sulfonic acids (liquid) (with not more than 5% free sulfuric acid)).
","Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
107-49-3,TEPP,Corrosive to metals,Classification not possible,-,-,-,"Although it is corrosive for aluminum (Weiss (2nd, 1985)), there is no information about steels. So it cannot be classified.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
57-41-0,"5,5-Diphenyl-2,4-imidazolidinedione",Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available ,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
